Title,Genres,Difficulty,AI Reasoning
"The Great Escape","Adventure, Drama, History, Thriller, War","Easy Mode","A classic 1963 war film that is considered a staple of world cinema."
"The Vaccine War","Drama, Thriller","Impossible Mode","A 2023 film with a very specific regional and political context that failed to garner significant global attention."
"No Country for Old Men","Crime, Drama, Thriller","Easy Mode","An Academy Award-winning film by the Coen Brothers that is widely studied and viewed worldwide."
"Taxi Driver","Crime, Drama","Hard Mode","A landmark 1970s film that is universally known by cinephiles but less frequently watched by general younger audiences compared to modern blockbusters."
"Spider-Man: No Way Home","Action, Adventure, Science Fiction","Easy Mode","A massive global blockbuster and part of the Marvel Cinematic Universe with near-universal recognition."
"Shutter Island","Mystery, Thriller, Drama","Easy Mode","A very popular psychological thriller starring Leonardo DiCaprio that is widely discussed in mainstream culture."
"Jurassic Park","Adventure, Sci-Fi, Thriller","Easy Mode","A cultural phenomenon and one of the most recognizable movie franchises in history."
"Howl's Moving Castle","Animation, Adventure, Fantasy, Romance","Hard Mode","A beloved Studio Ghibli film that has high recognition in the anime community but remains somewhat niche in the broader general public."
"There Will Be Blood","Drama, History","Impossible Mode","A critically acclaimed arthouse historical drama that is iconic among film enthusiasts but relatively obscure to the casual moviegoer."
"Batman Begins","Action, Crime, Drama","Easy Mode","A major entry in the globally recognized Batman franchise and the start of Christopher Nolan's famous trilogy."
"The Thing","Horror, Sci-Fi, Mystery","Impossible Mode","A 1980s cult classic horror film that, while legendary in its genre, is significantly less known by the general public than superhero or family films."
"The Truman Show","Comedy, Drama, Sci-Fi","Easy Mode","An iconic social satire starring Jim Carrey that is a staple of 1990s cinema and widely known."
"Snatch","Comedy, Crime","Hard Mode","A cult classic British crime film that has a dedicated following but is more of a niche interest compared to major Hollywood productions."
"Kill Bill: Vol. 1","Action, Crime, Thriller","Easy Mode","Widely recognized Tarantino film with an iconic visual style and cult following."
"Casino","Crime, Drama","Easy Mode","A highly famous crime drama directed by Martin Scorsese and starring Robert De Niro."
"The Sixth Sense","Drama, Mystery, Thriller","Easy Mode","A massive box office hit famous for having one of the most well-known plot twists in cinema history."
"V for Vendetta","Action, Drama, Sci-Fi, Thriller","Easy Mode","A culturally significant film whose protagonist mask has become a global icon."
"Green Book","Biography, Comedy, Drama","Easy Mode","An Academy Award Best Picture winner that received significant international recognition."
"1917","War, Drama, Action","Easy Mode","A high-profile modern war film celebrated for its unique continuous-shot cinematography."
"Die Hard","Action, Thriller","Easy Mode","A staple of the action genre and a constant fixture in holiday movie discussions."
"Finding Nemo","Animation, Adventure, Comedy, Family","Easy Mode","A global Pixar blockbuster that is universally known across multiple generations."
"Indiana Jones and the Last Crusade","Action, Adventure","Easy Mode","A core entry in one of the most successful and famous film franchises of all time."
"Gone with the Wind","Drama, Romance, War","Easy Mode","A legendary historical epic and the highest-grossing film of all time when adjusted for inflation."
"A Beautiful Mind","Biography, Drama","Easy Mode","A major Academy Award-winning film with global commercial success and star power."
"Pan's Labyrinth","Fantasy, Drama, War","Easy Mode","A critically acclaimed and widely recognized dark fantasy film from Guillermo del Toro."
"L.A. Confidential","Crime, Drama, Mystery, Thriller","Easy Mode","A highly famous neo-noir crime film that is a staple of 1990s cinema."
"Downfall","Drama, History, War","Hard Mode","A German-language historical drama primarily known to the general public via internet memes."
"The Father","Drama","Hard Mode","A recent award-winning but niche drama that is less recognized than blockbuster hits."
"Unforgiven","Western, Drama","Easy Mode","A legendary Clint Eastwood Western that won Best Picture and is a genre icon."
"Chinatown","Crime, Drama, Mystery, Thriller","Easy Mode","Considered one of the greatest films ever made and a standard in cinematic study."
"Monty Python and the Holy Grail","Adventure, Comedy, Fantasy","Easy Mode","A global cult phenomenon with high recognition across multiple generations."
"The Secret in Their Eyes","Drama, Mystery, Romance, Thriller","Impossible Mode","An Argentinian foreign-language film that is relatively obscure to the average global moviegoer."
"Some Like It Hot","Comedy, Romance, Music","Easy Mode","An iconic classic comedy starring Marilyn Monroe known to audiences worldwide."
"The Elephant Man","Biography, Drama","Hard Mode","A David Lynch classic that is highly respected in cinematic circles but lacks the widespread pop-culture saturation of modern blockbusters."
"Ran","Action, Drama, History, War","Hard Mode","While Akira Kurosawa is a legendary director, this late-career epic is primarily recognized by film students and enthusiasts rather than the general public."
"Tumbbad","Horror, Fantasy, Drama","Impossible Mode","A cult Indian folk-horror film that, despite its high quality, remains largely unknown outside of niche horror circles and Indian cinema fans."
"For a Few Dollars More","Western","Easy Mode","Part of Sergio Leone's iconic Dollars Trilogy starring Clint Eastwood, making it a globally recognized pillar of the Western genre."
"Gangs of Wasseypur","Action, Comedy, Crime, Drama","Hard Mode","An acclaimed 5-hour crime epic from India that holds cult status internationally but remains a niche interest for broad global audiences."
"Klaus","Animation, Adventure, Comedy, Family","Easy Mode","As a modern Netflix animated staple, it reached millions of households globally and has become a frequent holiday recommendation."
"All About Eve","Drama","Easy Mode","A Golden Age Hollywood masterpiece that remains famous for its record-breaking Oscar nominations and iconic dialogue."
"Dial M for Murder","Crime, Thriller","Easy Mode","Directed by Alfred Hitchcock, his name and his thrillers are synonymous with classic cinema and widely known by multiple generations."
"Rashomon","Crime, Drama, Mystery","Hard Mode","Though the film's title is used to describe a common storytelling device, the actual 1950 black-and-white film is niche for general modern audiences."
"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","Animation, Action, Adventure, Fantasy","Easy Mode","A massive commercial juggernaut that became the highest-grossing film of 2020, achieving immense global recognition."
"Yojimbo","Action, Drama, Thriller","Easy Mode","Widely recognized as one of Akira Kurosawa's most influential and iconic samurai films globally."
"Andhadhun","Crime, Thriller, Comedy, Music","Hard Mode","A critically acclaimed Indian neo-noir that gained massive popularity in Asia but remains niche in Western mainstream media."
"Miracle in Cell No. 7","Drama, Comedy","Hard Mode","The Turkish and Korean versions reached global popularity via streaming, though it is not a household name in all regions."
"The Treasure of the Sierra Madre","Adventure, Drama, Western","Easy Mode","A cornerstone of American cinema and a highly recognizable classic starring Humphrey Bogart."
"Swades","Drama, Social","Hard Mode","A significant cult classic in South Asian cinema starring Shah Rukh Khan, though primarily known within the diaspora."
"The Wages of Fear","Adventure, Drama, Thriller","Hard Mode","A highly regarded French thriller that is a staple of film education but less known to the general public today."
"Children of Heaven","Drama, Family","Hard Mode","An internationally acclaimed Iranian film that received an Academy Award nomination, well-known in world cinema circles."
"Pather Panchali","Drama","Hard Mode","Regarded as one of the greatest films ever made, yet its recognition is largely confined to cinephiles and scholars."
"A Face in the Crowd","Drama, Music","Impossible Mode","A 1957 Elia Kazan film that remains significant to film historians but is often overlooked by general audiences."
"Satantango","Drama","Impossible Mode","An avant-garde, seven-hour Hungarian drama that is legendary in elite film circles but virtually unknown to the public."
"To Be or Not to Be","Comedy, War, Romance","Hard Mode","A classic Hollywood satire well-known to cinephiles but less recognized by modern general audiences."
